Statistic,Player,Team,Value,Rank,Year
West,San Diego Padres,64,98.0,0.395,2003
National League Team Standings,National League Team Standings,National League Team Standings,,,2003
2003 N.L. Final Standings,2003 N.L. Final Standings,2003 N.L. Final Standings,,,2003
TEAM,G,AB,,,2003
Arizona,162,5570,717.0,1467.0,2003
Atlanta,162,5670,907.0,1608.0,2003
Chicago,162,5519,724.0,1431.0,2003
Cincinnati,162,5509,694.0,1349.0,2003
Colorado,162,5518,853.0,1472.0,2003
Florida,162,5490,751.0,1459.0,2003
Houston,162,5583,805.0,1466.0,2003
Los Angeles,162,5458,574.0,1328.0,2003
Milwaukee,162,5548,714.0,1423.0,2003
Montreal,162,5437,711.0,1404.0,2003
New York,161,5341,642.0,1317.0,2003
Philadelphia,162,5543,791.0,1448.0,2003
Pittsburgh,162,5581,753.0,1492.0,2003
San Diego,162,5531,678.0,1442.0,2003
San Francisco,161,5456,755.0,1440.0,2003
St. Louis,162,5672,876.0,1580.0,2003
Team,W,L,,,2003
Arizona,84,78,3.84,162.0,2003
Atlanta,101,61,4.1,162.0,2003
Chicago,88,74,3.83,162.0,2003
Cincinnati,69,93,5.09,162.0,2003
Colorado,74,88,5.2,162.0,2003
Florida,91,71,4.04,162.0,2003
Houston,87,75,3.86,162.0,2003
Los Angeles,85,77,3.16,162.0,2003
Milwaukee,68,94,5.02,162.0,2003
Montreal,83,79,4.01,162.0,2003
New York,66,95,4.48,161.0,2003
Philadelphia,86,76,4.04,162.0,2003
Pittsburgh,75,87,4.64,162.0,2003
San Diego,64,98,4.87,162.0,2003
San Francisco,100,61,3.73,161.0,2003
St. Louis,85,77,4.6,162.0,2003
Base on Balls,Barry Bonds,San Francisco,232.0,,2004
Batting Average,Barry Bonds,San Francisco,0.362,,2004
Doubles,Lyle Overbay,Milwaukee,53.0,,2004
Hits,Juan Pierre,Florida,221.0,,2004
Home Runs,Adrian Beltre,Los Angeles,48.0,,2004
On Base Percentage,Barry Bonds,San Francisco,0.609,,2004
RBI,Vinny Castilla,Colorado,131.0,,2004
Runs,Albert Pujols,St. Louis,133.0,,2004
Slugging Average,Barry Bonds,San Francisco,0.812,,2004
Stolen Bases,Scott Podsednik,Milwaukee,70.0,,2004
Total Bases,Albert Pujols,St. Louis,389.0,,2004
Triples,Juan Pierre,Florida,12.0,,2004
Triples,Jimmy Rollins,Philadelphia,12.0,,2004
Triples,Jack Wilson,Pittsburgh,12.0,,2004
Complete Games,Livan Hernandez,Montreal,9.0,,2004
ERA,Jake Peavy,San Diego,2.27,,2004
Games,Jim Brower,San Francisco,89.0,,2004
Saves,Armando Benitez,Florida,47.0,,2004
Saves,Jason Isringhausen,St. Louis,47.0,,2004
Shutouts,Cory Lidle,Philadelphia,3.0,,2004
Shutouts,Jason Schmidt,San Francisco,3.0,,2004
Strikeouts,Randy Johnson,Arizona,290.0,,2004
Winning Percentage,Roger Clemens,Houston,0.818,,2004
Wins,Roy Oswalt,Houston,20.0,,2004
2004 National League Team Standings,2004 National League Team Standings,2004 National League Team Standings,,,2004
East,Team [Click for roster],Wins,,,2004
East,Atlanta Braves,96,66.0,0.0,2004
East,Philadelphia Phillies,86,76.0,0.0,2004
East,Florida Marlins,83,79.0,0.0,2004
East,New York Mets,71,91.0,0.0,2004
East,Montreal Expos,67,95.0,0.0,2004
Central,Team [Click for roster],Wins,,,2004
Central,St. Louis Cardinals,105,57.0,0.0,2004
Central,Houston Astros,92,70.0,0.0,2004
Central,Chicago Cubs,89,73.0,0.0,2004
Central,Cincinnati Reds,76,86.0,0.0,2004
Central,Pittsburgh Pirates,72,89.0,0.0,2004
Central,Milwaukee Brewers,67,94.0,0.0,2004
West,Team [Click for roster],Wins,,,2004
West,Los Angeles Dodgers,93,69.0,0.0,2004
West,San Francisco Giants,91,71.0,0.0,2004
West,San Diego Padres,87,75.0,0.0,2004
West,Colorado Rockies,68,94.0,0.0,2004
West,Arizona Diamondbacks,51,111.0,0.0,2004
National League Team Standings,National League Team Standings,National League Team Standings,,,2004
Base on Balls,San Francisco,705,,,2004
Batting Average,St. Louis,.278,,,2004
Doubles,Colorado,331,,,2004
Hits,St. Louis,1544,,,2004
Home Runs,Chicago,235,,,2004
On Base Percentage,San Francisco,.357,,,2004
Runs,San Francisco,855,,,2004
Slugging Average,St. Louis,.460,,,2004
Stolen Bases,Milwaukee,138,,,2004
Triples,Pittsburgh,39,,,2004
Complete Games,Montreal,11,,,2004
ERA,Atlanta,3.74,,,2004
Fewest Hits Allowed,Chicago,1363,,,2004
Fewest Home Runs Allowed,Pittsburgh,149,,,2004
Fewest Walks Allowed,San Diego,422,,,2004
Saves,St. Louis,57,,,2004
Shutouts,Florida,14,,,2004
Strikeouts,Chicago,1346,,,2004
Base on Balls,Brian Giles,San Diego,119.0,,2005
Batting Average,Derrek Lee,Chicago,0.335,,2005
Doubles,Derrek Lee,Chicago,50.0,,2005
Hits,Derrek Lee,Chicago,199.0,,2005
Home Runs,Andruw Jones,Atlanta,51.0,,2005
On Base Percentage,Todd Helton,Colorado,0.445,,2005
RBI,Andruw Jones,Atlanta,128.0,,2005
Runs,Albert Pujols,St. Louis,129.0,,2005
Slugging Average,Derrek Lee,Chicago,0.662,,2005
Stolen Bases,Jose Reyes,New York,60.0,,2005
Total Bases,Derrek Lee,Chicago,393.0,,2005
Triples,Jose Reyes,New York,17.0,,2005
Complete Games,Chris Carpenter,St. Louis,7.0,,2005
Complete Games,Dontrelle Willis,Florida,7.0,,2005
ERA,Roger Clemens,Houston,1.87,,2005
Games,Scott Eyre,San Francisco,86.0,,2005
Saves,Chad Cordero,Washington,47.0,,2005
Shutouts,Dontrelle Willis,Florida,5.0,,2005
Strikeouts,Jake Peavy,San Diego,216.0,,2005
Winning Percentage,Chris Carpenter,St. Louis,0.808,,2005
Wins,Dontrelle Willis,Florida,22.0,,2005
2005 National League Team Standings,2005 National League Team Standings,2005 National League Team Standings,,,2005
East,Team [Click for roster],Wins,,,2005
East,Atlanta Braves,90,72.0,0.0,2005
East,Philadelphia Phillies,88,74.0,0.0,2005
East,Florida Marlins,83,79.0,0.0,2005
East,New York Mets,83,79.0,0.0,2005
East,Washington Nationals,81,81.0,0.0,2005
Central,Team [Click for roster],Wins,,,2005
Central,St. Louis Cardinals,100,62.0,0.0,2005
Central,Houston Astros,89,73.0,0.0,2005
Central,Milwaukee Brewers,81,81.0,0.0,2005
Central,Chicago Cubs,79,83.0,0.0,2005
Central,Cincinnati Reds,73,89.0,0.0,2005
Central,Pittsburgh Pirates,67,95.0,0.0,2005
West,Team [Click for roster],Wins,,,2005
West,San Diego Padres,82,80.0,0.0,2005
West,Arizona Diamondbacks,77,85.0,0.0,2005
West,San Francisco Giants,75,87.0,0.0,2005
West,Los Angeles Dodgers,71,91.0,0.0,2005
West,Colorado Rockies,67,95.0,0.0,2005
Base on Balls,Barry Bonds,San Francisco,115.0,,2006
Batting Average,Freddy Sanchez,Pittsburgh,0.344,,2006
Doubles,Freddy Sanchez,Pittsburgh,53.0,,2006
Hits,Juan Pierre,Chicago,204.0,,2006
Home Runs,Ryan Howard,Philadelphia,58.0,,2006
On Base Percentage,Barry Bonds *,San Francisco,0.454,,2006
RBI,Ryan Howard,Philadelphia,149.0,,2006
Runs,Chase Utley,Philadelphia,131.0,,2006
Slugging Average,Albert Pujols,St. Louis,0.671,,2006
Stolen Bases,Jose Reyes,New York,64.0,,2006
Total Bases,Ryan Howard,Philadelphia,383.0,,2006
Triples,Jose Reyes,New York,17.0,,2006
2006 A.L. | N.L. Retirements | N.L. Rookies | Year-by-Year,2006 A.L. | N.L. Retirements | N.L. Rookies | Year-by-Year,2006 A.L. | N.L. Retirements | N.L. Rookies | Year-by-Year,,,2006
Complete Games,Aaron Harang,Cincinnati,6.0,,2006
ERA,Roy Oswalt,Houston,2.98,,2006
Games,Salomon Torres,Pittsburgh,94.0,,2006
Saves,Trevor Hoffman,San Diego,46.0,,2006
Shutouts,Chris Carpenter,St. Louis,3.0,,2006
Shutouts,Brandon Webb,Arizona,3.0,,2006
Strikeouts,Aaron Harang,Cincinnati,216.0,,2006
Winning Percentage,Carlos Zambrano,Chicago,0.696,,2006
Wins,Aaron Harang,Cincinnati,16.0,,2006
Wins,Derek Lowe,Los Angeles,16.0,,2006
Wins,Brad Penny,Los Angeles,16.0,,2006
Wins,John Smoltz,Atlanta,16.0,,2006
Wins,Brandon Webb,Arizona,16.0,,2006
Wins,Carlos Zambrano,Chicago,16.0,,2006
2006 A.L. | N.L. Retirements | N.L. Rookies | Year-by-Year,2006 A.L. | N.L. Retirements | N.L. Rookies | Year-by-Year,2006 A.L. | N.L. Retirements | N.L. Rookies | Year-by-Year,,,2006
East,Team | Roster,Wins,,,2006
East,New York Mets,97,65.0,0.0,2006
East,Philadelphia Phillies,85,77.0,0.0,2006
East,Atlanta Braves,79,83.0,0.0,2006
East,Florida Marlins,78,84.0,0.0,2006
East,Washington Nationals,71,91.0,0.0,2006
Central,Team | Roster,Wins,,,2006
Central,St. Louis Cardinals,83,78.0,0.0,2006
Central,Houston Astros,82,80.0,0.0,2006
Central,Cincinnati Reds,80,82.0,0.0,2006
Central,Milwaukee Brewers,75,87.0,0.0,2006
Central,Pittsburgh Pirates,67,95.0,0.0,2006
Central,Chicago Cubs,66,96.0,0.0,2006
West,Team | Roster,Wins,,,2006
West,San Diego Padres,88,74.0,0.0,2006
West,Los Angeles Dodgers,88,74.0,0.0,2006
West,San Francisco Giants,76,85.0,0.0,2006
West,Arizona Diamondbacks,76,86.0,0.0,2006
West,Colorado Rockies,76,86.0,0.0,2006
N.L.,Team | Roster,Wins,,,2006
2006 National League Final Standings,2006 National League Final Standings,2006 National League Final Standings,,,2006
Base on Balls,Barry Bonds,San Francisco,132.0,,2007
Batting Average,Matt Holliday,Colorado,0.34,,2007
Doubles,Matt Holliday,Colorado,50.0,,2007
Hits,Matt Holliday,Colorado,216.0,,2007
Home Runs,Prince Fielder,Milwaukee,50.0,,2007
On Base Percentage,Todd Helton,Colorado,0.434,,2007
RBI,Matt Holliday,Colorado,137.0,,2007
Runs,Jimmy Rollins,Philadelphia,139.0,,2007
Slugging Average,Prince Fielder,Milwaukee,0.618,,2007
Stolen Bases,Jose Reyes,New York,78.0,,2007
Total Bases,Matt Holliday,Colorado,386.0,,2007
Triples,Jimmy Rollins,Philadelphia,20.0,,2007
2007 A.L. | N.L. Retirements | N.L. Rookies | Year-by-Year,2007 A.L. | N.L. Retirements | N.L. Rookies | Year-by-Year,2007 A.L. | N.L. Retirements | N.L. Rookies | Year-by-Year,,,2007
Complete Games,Brandon Webb,Arizona,4.0,,2007
ERA,Jake Peavy,San Diego,2.54,,2007
Games,Jon Rauch,Washington,88.0,,2007
Saves,Jose Valverde,Arizona,47.0,,2007
Shutouts,Brandon Webb,Arizona,3.0,,2007
Strikeouts,Jake Peavy,San Diego,240.0,,2007
Winning Percentage,Brad Penny,Los Angeles,0.8,,2007
Wins,Jake Peavy,San Diego,19.0,,2007
2007 A.L. | N.L. Retirements | N.L. Rookies | Year-by-Year,2007 A.L. | N.L. Retirements | N.L. Rookies | Year-by-Year,2007 A.L. | N.L. Retirements | N.L. Rookies | Year-by-Year,,,2007
East,Team | Roster,Wins,,,2007
East,Philadelphia Phillies,89,73.0,0.0,2007
East,New York Mets,88,74.0,0.0,2007
East,Atlanta Braves,84,78.0,0.0,2007
East,Washington Nationals,73,89.0,0.0,2007
East,Florida Marlins,71,91.0,0.0,2007
Central,Team | Roster,Wins,,,2007
Central,Chicago Cubs,85,77.0,0.0,2007
Central,Milwaukee Brewers,83,79.0,0.0,2007
Central,St. Louis Cardinals,78,84.0,0.0,2007
Central,Houston Astros,73,89.0,0.0,2007
Central,Cincinnati Reds,72,90.0,0.0,2007
Central,Pittsburgh Pirates,68,94.0,0.0,2007
West,Team | Roster,Wins,,,2007
West,Arizona Diamondbacks,90,72.0,0.0,2007
West,Colorado Rockies,90,73.0,0.0,2007
West,San Diego Padres,89,74.0,0.0,2007
West,Los Angeles Dodgers,82,80.0,0.0,2007
West,San Francisco Giants,71,91.0,0.0,2007
N.L.,Team | Roster,Wins,,,2007
2007 National League Final Standings,2007 National League Final Standings,2007 National League Final Standings,,,2007
Base on Balls,Adam Dunn,Arizona,122.0,,2008
Batting Average,Chipper Jones,Atlanta,0.364,,2008
Doubles,Lance Berkman,Houston,46.0,,2008
Doubles,Nate McLouth,Pittsburgh,46.0,,2008
Hits,Jose Reyes,New York,204.0,,2008
Home Runs,Ryan Howard,Philadelphia,48.0,,2008
On Base Percentage,Chipper Jones,Atlanta,0.47,,2008
RBI,Ryan Howard,Philadelphia,146.0,,2008
Runs,Hanley Ramirez,Florida,125.0,,2008
Slugging Average,Albert Pujols,St. Louis,0.653,,2008
Stolen Bases,Willy Taveras,Colorado,68.0,,2008
Total Bases,Albert Pujols,St. Louis,342.0,,2008
Triples,Jose Reyes,New York,19.0,,2008
2008 A.L. | N.L. Retirements | N.L. Rookies | Year-by-Year,2008 A.L. | N.L. Retirements | N.L. Rookies | Year-by-Year,2008 A.L. | N.L. Retirements | N.L. Rookies | Year-by-Year,,,2008
Complete Games,C.C. Sabathia,Milwaukee,7.0,,2008
ERA,Johan Santana,New York,2.53,,2008
Games,Pedro Feliciano,New York,86.0,,2008
Saves,Jose Valverde,Houston,44.0,,2008
Shutouts,C.C. Sabathia,Milwaukee,3.0,,2008
Shutouts,Ben Sheets,Milwaukee,3.0,,2008
Strikeouts,Tim Lincecum,San Francisco,265.0,,2008
Winning Percentage,Tim Lincecum,San Francisco,0.783,,2008
Wins,Brandon Webb,Arizona,22.0,,2008
2008 A.L. | N.L. Retirements | N.L. Rookies | Year-by-Year,2008 A.L. | N.L. Retirements | N.L. Rookies | Year-by-Year,2008 A.L. | N.L. Retirements | N.L. Rookies | Year-by-Year,,,2008
East,Team | Roster,Wins,,,2008
East,Philadelphia Phillies,92,70.0,0.0,2008
East,New York Mets,89,73.0,0.0,2008
East,Florida Marlins,84,77.0,0.0,2008
East,Atlanta Braves,72,90.0,0.0,2008
East,Washington Nationals,59,102.0,0.0,2008
Central,Team | Roster,Wins,,,2008
Central,Chicago Cubs,97,64.0,0.0,2008
Central,Milwaukee Brewers,90,72.0,0.0,2008
Central,Houston Astros,86,75.0,0.0,2008
Central,St. Louis Cardinals,86,76.0,0.0,2008
Central,Cincinnati Reds,74,88.0,0.0,2008
Central,Pittsburgh Pirates,67,95.0,0.0,2008
West,Team | Roster,Wins,,,2008
West,Los Angeles Dodgers,84,78.0,0.0,2008
West,Arizona Diamondbacks,82,80.0,0.0,2008
West,Colorado Rockies,74,88.0,0.0,2008
West,San Francisco Giants,72,90.0,0.0,2008
West,San Diego Padres,63,99.0,0.0,2008
N.L.,Team | Roster,Wins,,,2008
2008 National League Final Standings,2008 National League Final Standings,2008 National League Final Standings,,,2008
Base on Balls,Adrian Gonzalez,San Diego,119.0,,2009
Batting Average,Hanley Ramirez,Florida,0.342,,2009
Doubles,Miguel Tejada,Houston,46.0,,2009
Hits,Ryan Braun,Milwaukee,203.0,,2009
Home Runs,Albert Pujols,St. Louis,47.0,,2009
On Base Percentage,Albert Pujols,St. Louis,0.443,,2009
RBI,Prince Fielder,Milwaukee,141.0,,2009
RBI,Ryan Howard,Philadelphia,141.0,,2009
Runs,Albert Pujols,St. Louis,124.0,,2009
Slugging Average,Albert Pujols,St. Louis,0.658,,2009
Stolen Bases,Michael Bourn,Houston,61.0,,2009
Total Bases,Albert Pujols,St. Louis,374.0,,2009
Triples,Shane Victorino,Philadelphia,13.0,,2009
Complete Games,Matt Cain,San Francisco,4.0,,2009
Complete Games,Tim Lincecum,San Francisco,4.0,,2009
ERA,Chris Carpenter,St. Louis,2.24,,2009
Games,Pedro Feliciano,New York,88.0,,2009
Saves,Heath Bell,San Diego,42.0,,2009
Shutouts,Bronson Arroyo,Cincinnati,2.0,,2009
Shutouts,Cole Hamels,Philadelphia,2.0,,2009
Shutouts,J.A. Happ,Philadelphia,2.0,,2009
Shutouts,Tim Lincecum,San Francisco,2.0,,2009
Shutouts,Joel Pineiro,St. Louis,2.0,,2009
Strikeouts,Tim Lincecum,San Francisco,261.0,,2009
Winning Percentage,Chris Carpenter,St. Louis,0.81,,2009
Wins,Adam Wainwright,St. Louis,19.0,,2009
2009 National League Team Standings,2009 National League Team Standings,2009 National League Team Standings,,,2009
East,Team [Click for roster],Wins,,,2009
East,Philadelphia Phillies,93,69.0,0.0,2009
East,Florida Marlins,87,75.0,0.0,2009
East,Atlanta Braves,86,76.0,0.0,2009
East,New York Mets,70,92.0,0.0,2009
East,Washington Nationals,59,103.0,0.0,2009
Central,Team [Click for roster],Wins,,,2009
Central,St. Louis Cardinals,91,71.0,0.0,2009
Central,Chicago Cubs,83,78.0,0.0,2009
Central,Milwaukee Brewers,80,82.0,0.0,2009
Central,Cincinnati Reds,78,84.0,0.0,2009
Central,Houston Astros,74,88.0,0.0,2009
Central,Pittsburgh Pirates,62,99.0,0.0,2009
West,Team [Click for roster],Wins,,,2009
West,Los Angeles Dodgers,95,67.0,0.0,2009
West,Colorado Rockies,92,70.0,0.0,2009
West,San Francisco Giants,88,74.0,0.0,2009
West,San Diego Padres,75,87.0,0.0,2009
West,Arizona Diamondbacks,70,92.0,0.0,2009
2009 National League Final Standings,2009 National League Final Standings,2009 National League Final Standings,,,2009
Base on Balls,Prince Fielder,Milwaukee,114.0,,2010
Batting Average,Carlos Gonzalez,Colorado,0.336,,2010
Doubles,Jayson Werth,Philadelphia,46.0,,2010
Hits,Carlos Gonzalez,Colorado,197.0,,2010
Home Runs,Albert Pujols,St. Louis,42.0,,2010
On Base Percentage,Joey Votto,Cincinnati,0.424,,2010
RBI,Albert Pujols,St. Louis,118.0,,2010
Runs,Albert Pujols,St. Louis,115.0,,2010
Slugging Average,Joey Votto,Cincinnati,0.6,,2010
Stolen Bases,Michael Bourn,Houston,52.0,,2010
Total Bases,Carlos Gonzalez,Colorado,351.0,,2010
Triples,Dexter Fowler,Colorado,14.0,,2010
Complete Games,Roy Hallady,Philadelphia,9.0,,2010
ERA,Josh Johnson,Florida,2.3,,2010
Games,Pedro Feliciano,New York,92.0,,2010
Saves,Brian Wilson,San Francisco,48.0,,2010
Shutouts,Roy Hallady,Philadelphia,4.0,,2010
Strikeouts,Tim Lincecum,San Francisco,231.0,,2010
Winning Percentage,Ubaldo Jimenez,Colorado,0.704,,2010
Wins,Roy Hallady,Philadelphia,21.0,,2010
2010 National League Team Standings,2010 National League Team Standings,2010 National League Team Standings,,,2010
East,Team [Click for roster],Wins,,,2010
East,Philadelphia Phillies,97,65.0,0.0,2010
East,Atlanta Braves,91,71.0,0.0,2010
East,Florida Marlins,80,82.0,0.0,2010
East,New York Mets,79,83.0,0.0,2010
East,Washington Nationals,69,93.0,0.0,2010
Central,Team [Click for roster],Wins,,,2010
Central,Cincinnati Reds,91,71.0,0.0,2010
Central,St. Louis Cardinals,86,76.0,0.0,2010
Central,Milwaukee Brewers,77,85.0,0.0,2010
Central,Houston Astros,76,86.0,0.0,2010
Central,Chicago Cubs,75,87.0,0.0,2010
Central,Pittsburgh Pirates,57,105.0,0.0,2010
West,Team [Click for roster],Wins,,,2010
West,San Francisco Giants,92,70.0,0.0,2010
West,San Diego Padres,90,72.0,0.0,2010
West,Colorado Rockies,83,79.0,0.0,2010
West,Los Angeles Dodgers,80,82.0,0.0,2010
West,Arizona Diamondbacks,65,97.0,0.0,2010
2010 National League Final Standings,2010 National League Final Standings,2010 National League Final Standings,,,2010
Base on Balls,Joey Votto,Cincinnati,110.0,,2011
Batting Average,Jose Reyes,New York,0.337,,2011
Doubles,Joey Votto,Cincinnati,40.0,,2011
Hits,Starlin Castro,Chicago,207.0,,2011
Home Runs,Matt Kemp,Los Angeles,39.0,,2011
On Base Percentage,Joey Votto,Cincinnati,0.416,,2011
RBI,Matt Kemp,Los Angeles,126.0,,2011
Runs,Matt Kemp,Los Angeles,115.0,,2011
Slugging Average,Ryan Braun,Milwaukee,0.597,,2011
Stolen Bases,Michael Bourn,Houston / Atlanta,61.0,,2011
Total Bases,Matt Kemp,Los Angeles,353.0,,2011
Triples,Jose Reyes,New York,16.0,,2011
Triples,Shane Victorino,Philadelphia,16.0,,2011
Complete Games,Roy Halladay,Philadelphia,8.0,,2011
ERA,Clayton Kershaw,Los Angeles,2.28,,2011
Games,Jonny Venters,Atlanta,85.0,,2011
Saves,John Axford,Milwaukee,46.0,,2011
Saves,Craig Kimbrel,Atlanta,46.0,,2011
Shutouts,Cliff Lee,Philadelphia,6.0,,2011
Strikeouts,Clayton Kershaw,Los Angeles,248.0,,2011
Winning Percentage,Ian Kennedy,Arizona,0.84,,2011
Wins,Ian Kennedy,Arizona,21.0,,2011
Wins,Clayton Kershaw,Los Angeles,21.0,,2011
2011 National League Team Standings,2011 National League Team Standings,2011 National League Team Standings,,,2011
East,Team | Roster,Wins,,,2011
East,Philadelphia Phillies,102,60.0,0.0,2011
East,Atlanta Braves,89,73.0,0.0,2011
East,Washington Nationals,80,81.0,0.0,2011
East,New York Mets,77,85.0,0.0,2011
East,Florida Marlins,72,90.0,0.0,2011
Central,Team | Roster,Wins,,,2011
Central,Milwaukee Brewers,96,66.0,0.0,2011
Central,St. Louis Cardinals,90,72.0,0.0,2011
Central,Cincinnati Reds,79,83.0,0.0,2011
Central,Pittsburgh Pirates,72,90.0,0.0,2011
Central,Chicago Cubs,71,91.0,0.0,2011
Central,Houston Astros,56,106.0,0.0,2011
West,Team | Roster,Wins,,,2011
West,Arizona Diamondbacks,94,68.0,0.0,2011
West,San Francisco Giants,86,76.0,0.0,2011
West,Los Angeles Dodgers,82,79.0,0.0,2011
West,Colorado Rockies,73,89.0,0.0,2011
West,San Diego Padres,71,91.0,0.0,2011
2011 National League Final Standings,2011 National League Final Standings,2011 National League Final Standings,,,2011
Base on Balls,Dan Uggla,Atlanta,94.0,,2012
Base on Balls,Joey Votto,Cincinnati,94.0,,2012
Batting Average,Buster Posey *,San Francisco,0.336,,2012
Doubles,Aramis Ramirez,Milwaukee,50.0,,2012
Hits,Andrew McCutchen,Pittsburgh,194.0,,2012
Home Runs,Ryan Braun,Milwaukee,41.0,,2012
On Base Percentage,Joey Votto,Cincinnati,0.474,,2012
RBI,Chase Headley,San Diego,115.0,,2012
Runs,Ryan Braun,Milwaukee,108.0,,2012
Slugging Average,Mike Stanton,Miami,0.608,,2012
Stolen Bases,Everth Cabrera,San Diego,44.0,,2012
Total Bases,Ryan Braun,Milwaukee,356.0,,2012
Triples,Angel Pagan,San Francisco,15.0,,2012
2012 A.L. | N.L. Retirements | N.L. Rookies | Year-by-Year,2012 A.L. | N.L. Retirements | N.L. Rookies | Year-by-Year,2012 A.L. | N.L. Retirements | N.L. Rookies | Year-by-Year,,,2012
Complete Games,R.A. Dickey,New York,5.0,,2012
ERA,Clayton Kershaw,Los Angeles,2.53,,2012
Games,Matt Belisle,Colorado,80.0,,2012
Games,Shawn Camp,Chicago,80.0,,2012
Games,Randy Choate,Miami / Los Angeles,80.0,,2012
Saves,Craig Kimbrel,Atlanta,42.0,,2012
Saves,Jason Motte,St. Louis,42.0,,2012
Shutouts,R.A. Dickey,New York,3.0,,2012
Strikeouts,R.A. Dickey,New York,230.0,,2012
Winning Percentage,Kyle Lohse,St. Louis,0.842,,2012
Wins,Gio Gonzalez,Washington,21.0,,2012
2012 A.L. | N.L. Retirements | N.L. Rookies | Year-by-Year,2012 A.L. | N.L. Retirements | N.L. Rookies | Year-by-Year,2012 A.L. | N.L. Retirements | N.L. Rookies | Year-by-Year,,,2012
East,Team | Roster,W,,,2012
East,Washington Nationals,98,64.0,0.0,2012
East,Atlanta Braves,94,68.0,0.0,2012
East,Philadelphia Phillies,81,81.0,0.0,2012
East,New York Mets,74,88.0,0.0,2012
East,Miami Marlins,69,93.0,0.0,2012
Central,Team | Roster,W,,,2012
Central,Cincinnati Reds,97,65.0,0.0,2012
Central,St. Louis Cardinals,88,74.0,0.0,2012
Central,Milwaukee Brewers,83,79.0,0.0,2012
Central,Pittsburgh Pirates,79,83.0,0.0,2012
Central,Chicago Cubs,61,101.0,0.0,2012
Central,Houston Astros,55,107.0,0.0,2012
West,Team | Roster,W,,,2012
West,San Francisco Giants,94,68.0,0.0,2012
West,Los Angeles Dodgers,86,76.0,0.0,2012
West,Arizona Diamondbacks,81,81.0,0.0,2012
West,San Diego Padres,76,86.0,0.0,2012
West,Colorado Rockies,64,98.0,0.0,2012
N.L.,Team | Roster,W,,,2012
2012 National League Final Standings,2012 National League Final Standings,2012 National League Final Standings,,,2012
Base on Balls,Joey Votto,Cincinnati,135.0,,2013
Batting Average,Michael Cuddyer,Colorado,0.331,,2013
Doubles,Matt Carpenter,St. Louis,55.0,,2013
Hits,Matt Carpenter,St. Louis,199.0,,2013
Home Runs,Pedro Alvarez,Pittsburgh,36.0,,2013
Home Runs,Paul Goldschmidt,Arizona,36.0,,2013
On Base Percentage,Joey Votto,Cincinnati,0.435,,2013
RBI,Paul Goldschmidt,Arizona,125.0,,2013
Runs,Matt Carpenter,St. Louis,126.0,,2013
Slugging Average,Paul Goldschmidt,Arizona,0.552,,2013
Stolen Bases,Eric Young,Colorado / New York,46.0,,2013
Total Bases,Paul Goldschmidt,Arizona,332.0,,2013
Triples,Denard Span,Washington,11.0,,2013
Complete Games,Adam Wainwright,St. Louis,4.0,,2013
Complete Games,Jordan Zimmermann,Washington,4.0,,2013
ERA,Clayton Kershaw,Los Angeles,1.83,,2013
Games,Brad Ziegler,Arizona,78.0,,2013
Saves,Craig Kimbrel,Atlanta,50.0,,2013
Shutouts,Clayton Kershaw,Los Angeles,3.0,,2013
Shutouts,Adam Wainwright,St. Louis,3.0,,2013
Shutouts,Jordan Zimmermann,Washington,3.0,,2013
Strikeouts,Clayton Kershaw,Los Angeles,232.0,,2013
Winning Percentage,Zack Greinke,Los Angeles,0.789,,2013
Wins,Adam Wainwright,St. Louis,19.0,,2013
Wins,Jordan Zimmermann,Washington,19.0,,2013
2013 National League Team Standings,2013 National League Team Standings,2013 National League Team Standings,,,2013
East,Team [Click for roster],Wins,,,2013
East,Atlanta Braves,96,66.0,0.0,2013
East,Washington Nationals,86,76.0,0.0,2013
East,New York Mets,74,88.0,0.0,2013
East,Philadelphia Phillies,73,89.0,0.0,2013
East,Miami Marlins,62,100.0,0.0,2013
Central,Team [Click for roster],Wins,,,2013
Central,St. Louis Cardinals,97,65.0,0.0,2013
Central,Pittsburgh Pirates,94,68.0,0.0,2013
Central,Cincinnati Reds,90,72.0,0.0,2013
Central,Milwaukee Brewers,74,88.0,0.0,2013
Central,Chicago Cubs,66,96.0,0.0,2013
West,Team [Click for roster],Wins,,,2013
West,Los Angeles Dodgers,92,70.0,0.0,2013
West,Arizona Diamondbacks,81,81.0,0.0,2013
West,San Diego Padres,76,86.0,0.0,2013
West,San Francisco Giants,76,86.0,0.0,2013
West,Colorado Rockies,74,88.0,0.0,2013
2013 National League Final Standings,2013 National League Final Standings,2013 National League Final Standings,,,2013
Base on Balls,Matt Carpenter,St. Louis,95.0,,2014
Batting Average,Justin Morneau,Colorado,0.319,,2014
Doubles,Jonathan Lucroy,Milwaukee,53.0,,2014
Hits,Ben Revere,Philadelphia,184.0,,2014
Hits,Denard Span,Washington,184.0,,2014
Home Runs,Giancarlo Stanton,Miami,37.0,,2014
On Base Percentage,Andrew McCutchen,Pittsburgh,0.41,,2014
RBI,Adrian Gonzalez,Los Angeles,116.0,,2014
Runs,Anthony Rendon,Washington,111.0,,2014
Slugging Average,Giancarlo Stanton,Miami,0.555,,2014
Stolen Bases,Dee Strange-Gordon,Los Angeles,64.0,,2014
Total Bases,Giancarlo Stanton,Miami,299.0,,2014
